URL,Type,Status Code,Indexability,In Sitemap,Orphan URL,Noindex Signal,Canonical Missing,Canonicalised,Meta Missing,Meta Duplicate,Title Duplicate,Title Over 60,Backlink Rows,Referring Domains,Follow Rows,GSC Clicks,GSC Impressions,GSC CTR,GSC Position,Suggested Action,Replacement URL,Priority,Decision Confidence,GSC Indexing Blocker,GSC Last Crawl,Notes
https://theccpress.com/,homepage,,,,,,,,,,,,,,,,,,,,,Critical,Low,,,"Validate schema, publisher name, OG brand consistency, and any parameter URLs exposed in structured data"
https://theccpress.com/about-us/,trust_page,,,,,,,,,,,,,,,,,,,,,High,Low,,,"Verify 200 indexable status and internal links from other trust pages"
https://theccpress.com/authors/,trust_page,,,,,,,,,,,,,,,,,,,,,High,Low,,,"Verify hub quality and links to individual author pages"
https://theccpress.com/contact/,trust_page,,,,,,,,,,,,,,,,,,,,,High,Low,,,"Verify 200 indexable status and sitemap inclusion intent"
https://theccpress.com/corrections-policy/,trust_page,,,,,,,,,,,,,,,,,,,,,High,Low,,,"Verify 200 indexable status and trust-page internal linking"
https://theccpress.com/editorial-standards-fact-checking-policy/,trust_page,,,,,,,,,,,,,,,,,,,,,High,Low,,,"Verify 200 indexable status and publisher trust consistency"
https://theccpress.com/sponsored-content-disclosure/,trust_page,,,,,,,,,,,,,,,,,,,,,High,Low,,,"Verify 200 indexable status and disclosure cross-linking"
https://theccpress.com/advertising-disclosure/,trust_page,,,,,,,,,,,,,,,,,,,,,High,Low,,,"Verify 200 indexable status and disclosure cross-linking"
https://theccpress.com/ownership-disclosure/,trust_page,,,,,,,,,,,,,,,,,,,,,High,Low,,,"Verify 200 indexable status and ownership transparency signals"
https://theccpress.com/financial-disclosures/,trust_page,,,,,,,,,,,,,,,,,,,,,High,Low,,,"Verify 200 indexable status and trust-page internal linking"
https://theccpress.com/privacy-policy/,trust_page,,,,,,,,,,,,,,,,,,,,,Medium,Low,,,"Verify intended indexability and sitemap inclusion"
https://theccpress.com/terms-of-use/,trust_page,,,,,,,,,,,,,,,,,,,,,Medium,Low,,,"Verify intended indexability and sitemap inclusion"
https://theccpress.com/cmc/,archive,,,,,,,,,,,,,,,,,,,,,Critical,Low,,,"High-risk archive bucket with large footprint in category remap summary"
https://theccpress.com/press-release/,archive,,,,,,,,,,,,,,,,,,,,,Critical,Low,,,"Check thin or promotional inventory and decide keep versus noindex versus stricter cleanup"
https://theccpress.com/conflicts/regulation/,archive,,,,,,,,,,,,,,,,,,,,,Critical,Low,,,"Largest remapped archive bucket; validate if archive is index-worthy and not bloated"
https://theccpress.com/investigations/fraud/,archive,,,,,,,,,,,,,,,,,,,,,High,Low,,,"Validate archive quality, overlap, and internal linking"
https://theccpress.com/investigations/collapse/,archive,,,,,,,,,,,,,,,,,,,,,High,Low,,,"Validate archive quality, overlap, and internal linking"
https://theccpress.com/investigations/controversy/,archive,,,,,,,,,,,,,,,,,,,,,High,Low,,,"Validate archive quality, overlap, and internal linking"
https://theccpress.com/people/founders/,archive,,,,,,,,,,,,,,,,,,,,,High,Low,,,"Validate archive usefulness and cannibalization risk"
https://theccpress.com/stories/market-drama/,archive,,,,,,,,,,,,,,,,,,,,,High,Low,,,"Review as broad narrative archive with likely mixed intent"
