URL,Status Code,Indexability,Canonicalised,Replacement URL,All Inlinks Rows,Backlink Rows,Referring Domains,Top Inlink Sources,Suggested Action,Notes
https://tokentopnews.com/coin/bitcoin/,200,Non-Indexable,yes,https://tokentopnews.com/coin/,4084,1,1,/bitcoin-worst-quarter-market-fatigue/ (1) | /bitcoin-options-dominate-futures-interest/ (1) | /bitcoin-unrealized-loss-glassnode-analysis/ (1),noindex,"Live duplicate utility URL. Currently index,follow + canonical to /coin/. Add noindex,follow if bucket remains live."
https://tokentopnews.com/coin/ethereum/,200,Non-Indexable,yes,https://tokentopnews.com/coin/,3262,1,1,/opensea-market-leadership-nft-revival/ (1) | /altcoins-momentum-bitcoin-dominance-drops/ (1) | /mozilla-is-accepting-crypto-donations-again-but-only-from-pos-validated-blockchains/ (1),noindex,"Live duplicate utility URL. Currently index,follow + canonical to /coin/. Add noindex,follow if bucket remains live."
https://tokentopnews.com/coin/just/,200,Non-Indexable,yes,https://tokentopnews.com/coin/,120,1,1,/crypto-market-liquidations-bitcoin-ethereum/ (1) | /trump-pressures-powell-interest-rate-reduction/ (1) | /coin/just/ (1),noindex,"Live duplicate utility URL. Currently index,follow + canonical to /coin/. Add noindex,follow if bucket remains live."
https://tokentopnews.com/coin/solana/,200,Non-Indexable,yes,https://tokentopnews.com/coin/,75,0,0,/missed-trx-and-avax-apemars-stage-15-next-100x-crypto/ (1) | /how-to-trade-the-best-crypto-to-buy-in-april-apemars-stage-15/ (1) | /definitive-edge-platform-market-cap-rise/ (1),noindex,"Live duplicate utility URL. Currently index,follow + canonical to /coin/. Add noindex,follow if bucket remains live."
https://tokentopnews.com/coin/stable/,200,Non-Indexable,yes,https://tokentopnews.com/coin/,46,0,0,/swiss-tyr-capital-market-neutral-hedge-fund/ (1) | /gateio-dexlab-xlab-spot-trading/ (1) | /bybit-usdt-trading-stock-assets-launch/ (1),noindex,"Live duplicate utility URL. Currently index,follow + canonical to /coin/. Add noindex,follow if bucket remains live."
https://tokentopnews.com/coin/usdc/,200,Non-Indexable,yes,https://tokentopnews.com/coin/,38,0,0,/top-5-crypto-news-24-hours-metaplanet-circle/ (1) | /machi-big-brother-eth-liquidation-risk-hyperliquid/ (1) | /coin/usdc/ (1),noindex,"Live duplicate utility URL. Currently index,follow + canonical to /coin/. Add noindex,follow if bucket remains live."
https://tokentopnews.com/coin/xrp/,200,Non-Indexable,yes,https://tokentopnews.com/coin/,34,0,0,/sec-delays-xrp-etf-franklin-templeton/ (1) | /everything-blockchain-invests-five-tokens/ (1) | /xrp-futures-volume-surges-sec-win/ (1),noindex,"Live duplicate utility URL. Currently index,follow + canonical to /coin/. Add noindex,follow if bucket remains live."
https://tokentopnews.com/coin/hyperliquid/,200,Non-Indexable,yes,https://tokentopnews.com/coin/,30,0,0,/ethereum-whale-short-strategy-success/ (1) | /missed-trx-and-avax-apemars-stage-15-next-100x-crypto/ (1) | /machi-big-brother-eth-liquidation-risk-hyperliquid/ (1),noindex,"Live duplicate utility URL. Currently index,follow + canonical to /coin/. Add noindex,follow if bucket remains live."
https://tokentopnews.com/coin/bnb/,200,Non-Indexable,yes,https://tokentopnews.com/coin/,27,0,0,/bullzilla-polkadot-and-wlfi-dominate-the-top-cryptos-to-invest-in-washington-dc/ (1) | /bullzilla-presale-gains-heat-as-binance-coin-and-aster-climb-best-cryptos-to-buy-now/ (1) | /best-meme-coins-to-buy-for-2025-arctic-pablos-presale-nears-final-location/ (1),noindex,"Live duplicate utility URL. Currently index,follow + canonical to /coin/. Add noindex,follow if bucket remains live."
https://tokentopnews.com/coin/dogecoin/,200,Non-Indexable,yes,https://tokentopnews.com/coin/,24,0,0,/moonbull-100x-crypto-presale-insight-2025-vs-cat-in-a-dogs-world-and-dogecoin/ (1) | /kucoin-launches-kupool-mining-service/ (1) | /moonbull-whitelist-live-now-best-new-upcoming-crypto-presale-vs-pepe-and-floki/ (1),noindex,"Live duplicate utility URL. Currently index,follow + canonical to /coin/. Add noindex,follow if bucket remains live."
https://tokentopnews.com/coin/pepe/,200,Non-Indexable,yes,https://tokentopnews.com/coin/,19,0,0,/bullzilla-polkadot-and-wlfi-dominate-the-top-cryptos-to-invest-in-washington-dc/ (1) | /moonbull-whitelist-live-now-best-new-upcoming-crypto-presale-vs-pepe-and-floki/ (1) | /moonbull-whitelist-soars-as-coq-inu-and-dogs-break-out-in-top-new-meme-coin-to-watch-race/ (1),noindex,"Live duplicate utility URL. Currently index,follow + canonical to /coin/. Add noindex,follow if bucket remains live."
https://tokentopnews.com/coin/shiba-inu/,200,Non-Indexable,yes,https://tokentopnews.com/coin/,14,0,0,/moonbull-cat-in-a-dogs-world-dogecoin-top-crypto-presale-in-virginia-2025-opportunities/ (1) | /moonbull-whitelist-soars-as-coq-inu-and-dogs-break-out-in-top-new-meme-coin-to-watch-race/ (1) | /arctic-pablo-coin-housecoin-apecoin-updates-top-meme-coins-to-join-for-long-term/ (1),noindex,"Live duplicate utility URL. Currently index,follow + canonical to /coin/. Add noindex,follow if bucket remains live."
https://tokentopnews.com/coin/aave/,200,Non-Indexable,yes,https://tokentopnews.com/coin/,11,0,0,/whale-deposit-20000-eth-aave-v3/ (1) | /ethereum-surges-2800-market-rally/ (1) | /mkr-swap-sky-makerdao-rebranding/ (1),noindex,"Live duplicate utility URL. Currently index,follow + canonical to /coin/. Add noindex,follow if bucket remains live."
https://tokentopnews.com/coin/tron/,200,Non-Indexable,yes,https://tokentopnews.com/coin/,11,0,0,/missed-trx-and-avax-apemars-stage-15-next-100x-crypto/ (1) | /best-crypto-to-watch-apemars-tron-ethereum-insights/ (1) | /tron-addresses-balance-130-million-growth/ (1),noindex,"Live duplicate utility URL. Currently index,follow + canonical to /coin/. Add noindex,follow if bucket remains live."
https://tokentopnews.com/coin/world-liberty-financial/,200,Non-Indexable,yes,https://tokentopnews.com/coin/,11,0,0,/bullzilla-polkadot-and-wlfi-dominate-the-top-cryptos-to-invest-in-washington-dc/ (1) | /eric-trump-wlf-trump-acquisition/ (1) | /eric-trump-wlfi-trump-token-dispute/ (1),noindex,"Live duplicate utility URL. Currently index,follow + canonical to /coin/. Add noindex,follow if bucket remains live."
