source_url,live_status,recommended_action,replacement_url,decision_confidence,reason,checked_at
https://tokentopnews.com/crypto-topics/press-releases/,404,301,https://tokentopnews.com/press-release/,High,"Legacy press-release archive; surviving archive target returns 200.",2026-05-05
https://tokentopnews.com/crypto-insights/bitcoin-analysis/,404,301,https://tokentopnews.com/cryptocurrency-news/bitcoin/,High,"Closest surviving archive for bitcoin analysis/news; target returns 200 and is already a major internal hub.",2026-05-05
https://tokentopnews.com/crypto-insights/cardano-analysis/,404,301,https://tokentopnews.com/cryptocurrency-news/cardano/,High,"Closest surviving archive for cardano content; target returns 200.",2026-05-05
https://tokentopnews.com/crypto-insights/crypto-analysis/,404,301,https://tokentopnews.com/insights/,Medium,"Generic analysis bucket; parent insights archive returns 200 and matches broader intent.",2026-05-05
https://tokentopnews.com/crypto-insights/dogecoin-analysis/,404,301,https://tokentopnews.com/trends/memecoins/,Medium,"Dogecoin archive path currently resolves into the memecoin topic cluster; final live target returns 200.",2026-05-05
https://tokentopnews.com/crypto-insights/ethereum-analysis/,404,301,https://tokentopnews.com/cryptocurrency-news/ethereum/,High,"Closest surviving archive for ethereum content; target returns 200.",2026-05-05
https://tokentopnews.com/crypto-insights/ripple-analysis/,404,301,https://tokentopnews.com/cryptocurrency-news/ripple/,High,"Closest surviving archive for ripple content; target returns 200.",2026-05-05
https://tokentopnews.com/crypto-insights/ripple-xrp-analysis/,404,301,https://tokentopnews.com/cryptocurrency-news/ripple/,Medium,"Mixed ripple/xrp analysis slug; ripple archive is the cleanest surviving topical target and returns 200.",2026-05-05
https://tokentopnews.com/crypto-insights/solana-analysis/,404,301,https://tokentopnews.com/cryptocurrency-news/solana/,High,"Closest surviving archive for solana content; target returns 200.",2026-05-05
https://tokentopnews.com/crypto-insights/solana-price-prediction/,404,301,https://tokentopnews.com/cryptocurrency-news/solana/,Medium,"No dedicated surviving price-prediction hub found; solana archive is the closest clean topical target and returns 200.",2026-05-05
https://tokentopnews.com/crypto-insights/tron-analysis/,404,301,https://tokentopnews.com/cryptocurrency-news/tron/,High,"Closest surviving archive for tron content; target returns 200.",2026-05-05
https://tokentopnews.com/crypto-topics/airdrops-news/,404,301,https://tokentopnews.com/crypto-topics/,Medium,"No clean dedicated airdrop archive found; parent crypto-topics archive returns 200 and best matches the old thematic bucket.",2026-05-05
https://tokentopnews.com/crypto-topics/defi-news/,404,301,https://tokentopnews.com/trends/defi/,High,"Dedicated DeFi trend archive returns 200 and is a stronger topical target than the broken top-level /defi/ path.",2026-05-05
https://tokentopnews.com/el-salvador-bitcoin-reserve-increase/n/a,404,301,https://tokentopnews.com/el-salvador-bitcoin-reserve-increase/,High,"Malformed suffix variant; clean parent URL returns 200.",2026-05-05
https://tokentopnews.com/learn-crypto/how-to-claim-airdrops/,404,301,https://tokentopnews.com/learn-crypto/,Medium,"No surviving dedicated child guide located; parent learn-crypto hub returns 200.",2026-05-05
https://tokentopnews.com/learn-crypto/how-to-use-digital-wallets/,404,301,https://tokentopnews.com/learn-crypto/,Medium,"No surviving dedicated child guide located; parent learn-crypto hub returns 200.",2026-05-05
https://tokentopnews.com/learn-crypto/kols/,404,301,https://tokentopnews.com/learn-crypto/,Medium,"No surviving dedicated KOL guide path located; parent learn-crypto hub returns 200.",2026-05-05
https://tokentopnews.com/learn-crypto/safety-tips/,404,301,https://tokentopnews.com/learn-crypto/,Medium,"No surviving dedicated child guide located; parent learn-crypto hub returns 200.",2026-05-05
https://tokentopnews.com/learn-crypto/trading-guide/,404,301,https://tokentopnews.com/learn-crypto/,Medium,"No clean /trading/ hub exists; parent learn-crypto hub returns 200 and is the safest living educational target.",2026-05-05
